,D_dt_mean,D_dt_mu,D_dt_sigma,D_dt_std,H0_mean,H0_std,id,inference_time,measured_td_wrt0,n_eff,n_img,z_lens,z_src
66,1002.0403482806994,6.909175158894927,0.03519083475154554,35.20631797127864,72.68847594189978,2.563709838431744,66.0,1.8043604811032614,[9.46319680825489],681.0302828178211,2.0,0.21643092887954035,2.4354926391798037
67,2508.659084269205,7.827133095673569,0.027233234877890804,68.26231319193359,70.80550979590184,1.9305548007270061,67.0,1.8398577451705933,"[17.717799936290522, 0.6026007910679512, -1.1403029592846665]",366.4765598634799,4.0,0.4646969098105689,2.547694357675637
68,2025.3321412329594,7.613121252178599,0.027103051704803018,55.00486529822189,66.60709979664328,1.802188637676435,68.0,1.8631855527559915,"[14.856029459527074, 20.444617113457152, 12.459881421744576]",205.95224226339343,4.0,0.353861432459769,1.87053795587643
69,7274.865657151455,8.891957199113817,0.02111728531544906,154.11075262435267,72.67454320508706,1.5298356863292826,69.0,1.8042804678281148,[-109.94039858467148],57.432271397519884,2.0,0.7065889217610476,1.2139022067415204
70,11159.424094884333,9.3197615121512,0.023596177109127692,262.966756053707,72.2375812601484,1.706942228904211,70.0,1.806396472454071,[142.08514132842515],40.438239608277456,2.0,0.8740314738351458,1.3280947333912378
71,3530.3808487931556,8.168880955740386,0.023665007069502225,83.58678388522756,67.55484096521778,1.5981981546281256,71.0,1.8366403142611185,"[-19.32359562235796, -10.314732094714001, -57.03615003398095]",100.48734717538636,4.0,0.587170187724162,2.6139314858734486
72,2038.4518917212256,7.619541389181069,0.028466931710573205,57.9047027569262,67.37155459500265,1.9229525949164636,72.0,1.8392761627833047,[25.589939338306788],224.62446856222144,2.0,0.3378443992603667,1.3902143955201858
73,3093.1233815435844,8.036613759902698,0.025418038826433308,78.58812832616064,70.87649432771326,1.802930003687289,73.0,1.869019865989685,[-36.15068753700174],182.87406817745295,2.0,0.5456971804235243,2.499635456870674
74,2799.9979669932823,7.937091152671801,0.02377482634388844,66.64701359664615,64.9283120528927,1.5419768197715698,74.0,1.875715180238088,[-42.983380590892565],137.91377986620412,2.0,0.4519348925273339,1.9994123937549213
75,3530.1595773671793,8.168754184865984,0.026228122645996152,92.69227247039409,72.52854223702,1.9006166597718503,75.0,1.8912131985028584,"[-60.36016198066744, -30.656502742197954, -24.833747518629878]",76.29542345645804,4.0,0.5514179505477724,1.6857940560049751
76,1888.4866013221397,7.542994702440672,0.03277355886451361,61.78880558873196,71.00154762635148,2.332079968015766,76.0,1.9044086774190268,"[-0.07120231014795902, -0.9718961976260455, 12.84449370576386]",449.62869635555836,4.0,0.35084343689670605,1.8342580754077484
77,3473.768983574787,8.152656084994527,0.026052335753767353,90.51688237816506,68.9138832678101,1.7955239909233742,77.0,1.9295303702354432,"[-6.196694793005325, -13.528044779682826, 22.17079986874361]",235.7727224933594,4.0,0.5664841411955088,2.203420586613588
78,1686.2261827107884,7.429587932114458,0.03635766733434064,61.24810331014146,73.62119032524522,2.6810468344770166,78.0,1.8505500038464864,[9.048666008979984],789.5572639249606,2.0,0.3463517319735513,2.5676830613873576
79,3242.2896937293335,8.083702978546645,0.025800311282893368,83.38877312363559,71.12512906734815,1.841664456457257,79.0,1.8451624512672424,[-26.556626495574953],241.10737464615568,2.0,0.5214403052738315,1.7726984406811106
80,1435.8594714366109,7.269200987623613,0.025194036964765836,36.271188980305595,70.24410296669362,1.7653969389211428,80.0,1.907952868938446,"[10.138283966149082, 9.580194935413564, 18.128612867097672]",281.59132110902397,4.0,0.2865057260983219,2.2969483364104484
81,1943.777566938831,7.572014536505421,0.027384063487052225,53.04546050159126,71.03310878294388,1.9527490474927167,81.0,1.8611247817675272,[21.043960304739954],309.93891313674783,2.0,0.3742908676803192,2.357129862108865
82,715.2368459509025,6.571311551852274,0.05107836786532925,36.461036325118386,68.89812100328604,3.5306662894758483,82.0,1.886864455540975,"[-3.092677554039442, -0.45015819074789315, 4.701927427397759]",1091.452498068597,4.0,0.15018646228548138,2.1325132230757644
83,1423.5144847586675,7.260466735766119,0.028889727494201337,41.138971219549724,69.59373046484185,2.010362081704879,83.0,1.899087925752004,"[8.74904097487552, 9.148505052832343, 11.207247566926725]",347.6928792239723,4.0,0.2790141996478852,2.094611650547632
84,465.53435331911476,6.142124100864849,0.04609839479671592,21.449759215867584,68.15977320228947,3.1466793886709845,84.0,1.8717641949653625,[-6.664435200354879],939.8797838900272,2.0,0.09885456384282693,1.7853992750693646
85,1992.9838990182022,7.59697092516107,0.028883715992628733,57.61661493908756,68.87516146800148,1.9883623055967916,85.0,1.866507621606191,[21.677809496509756],266.51694139100965,2.0,0.3831619484339402,2.9122368316058167
86,4548.9524600444,8.42227236360619,0.02754775148643212,125.55421973662355,68.76713607149247,1.8907615490614582,86.0,1.8876962224642435,"[-3.509052793117031, -0.05343599557286853, -38.03904232322059]",173.77956918415495,4.0,0.7082540191179078,2.5065876524387107
87,903.388418805617,6.805334913213216,0.040447212968097744,36.53427637411844,72.48968534403632,2.934314354270695,87.0,1.8505738218625387,[-8.2774332721489],757.6770958935014,2.0,0.1982688248418541,2.7476089498347407
88,1971.4376770625418,7.586250405520358,0.023178061847513212,45.52869332176652,70.01270846320757,1.6289608177963006,88.0,1.8977868596712748,"[-33.52019543300997, -16.425692317255788, -16.607464276131438]",163.42119826743263,4.0,0.3661890630303525,2.0510078296259726
89,2804.715961149179,7.9386597692753265,0.02822140610976048,79.03761185891167,69.49153728987632,1.9645594800722637,89.0,1.8977402369181315,"[-34.48239025523383, -25.894838529694688, -29.089859768151253]",140.4226736908521,4.0,0.472728221866316,1.9373897384056893
90,3785.069507299825,8.23847492142919,0.026255909035211567,99.36338818108878,71.81620965776415,1.8862688954731077,90.0,1.8502954244613647,[48.63874659209333],119.06330670280087,2.0,0.5872369223605036,1.818668887671176
91,3178.6213929957594,8.063857831913968,0.026267184044053055,83.52495124552863,71.06826527524062,1.8665394086465437,91.0,1.8494926611582438,[29.597596363405284],206.20866284864508,2.0,0.4878432060884454,1.482866226317614
92,2077.2954485092137,7.638447561784771,0.027377605044307734,56.823906994476935,65.6027027824125,1.7982364861778564,92.0,1.859468392531077,[23.958342229232194],245.8054296859282,2.0,0.35304280384067466,1.7673164282174787
